品类,历史tradeId,历史fieldId,字段,类型,历史必填,历史saleProp,Listingify基线来源,CLI本地来源,Listingify基线判断逻辑,CLI缺失处理,create阶段,full-update阶段,incremental阶段,确认状态,CLI代码/验证入口,基线证据
针织衫,59,79251,相对发货时间,文本,是,否,FIXED,FIXED,按当前平台相对发货时效填写天数。,固定值不缺；模板不接受时留空报警。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1614
针织衫,59,46708,穿着方式,文本,是,否,REFERENCE_IMAGE + AI：平铺图/商品参考图可见证据，AI 仅限当前模板枚举,本地参考图 + AI：平铺图/商品参考图可见证据，AI 仅限当前模板枚举,仅根据平铺图/参考图判断可见结构，再归一到当前模板合法枚举；AI 只做受控辅助。,图片不可见或证据不足时留空并转人工；不因字段名存在而默认勾选。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1615
针织衫,59,29343,衣门襟,文本,是,否,REFERENCE_IMAGE + AI：平铺图/商品参考图可见证据，AI 仅限当前模板枚举,本地参考图 + AI：平铺图/商品参考图可见证据，AI 仅限当前模板枚举,仅根据平铺图/参考图判断可见结构，再归一到当前模板合法枚举；AI 只做受控辅助。,图片不可见或证据不足时留空并转人工；不因字段名存在而默认勾选。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1616
针织衫,59,28176,试穿报告表,多行/结构文本,是,否,PLM_SIZE + APPAREL_SIZE_REFERENCE + MDM_SKU,PLM_SIZE + APPAREL_SIZE_REFERENCE + 本地 SKU Excel,以 MDM 销售尺码为行键；表头取当前模板 options；PLM/7P 长表有真实量点才落列。,无真实量点则留空并阻断需要主尺码表的发布。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1617
针织衫,59,73647,详细材质信息(VIP),文本,是,否,吊牌/洗唛 OCR + COPYWRITING 标准文案 + 人工确认,吊牌/洗唛 OCR + 本地文案 Excel 标准文案 + 人工确认,按面料部位保留真实成分和比例；吊牌/洗唛合规事实优先，文案只作补充，枚举按模板归一。,无吊牌/洗唛/文案证据留空或转合规人工。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1618
针织衫,59,56020,货源类别,文本,是,否,LAUNCH_PLAN,本地上市计划 Excel,上市计划属性含现货则填现货；含订货/专供新品时按规则填订货或对应合法值。,无计划属性证据则留空人工确认。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1619
针织衫,59,66088,退款规则,文本,是,否,FIXED,FIXED,按当前售后规则填写模板合法值。,固定值不缺；模板无合法值时留空报警。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1620
针织衫,59,35374,适用人群(多选),多选,是,否,MDM/LAUNCH_PLAN 性别与年龄段 + 当前模板人群 options,MDM/本地上市计划 Excel 性别与年龄段 + 当前模板人群 options,先组合真实年龄段和性别，再归一到模板合法人群；中性/男女通用按模板映射。,无可信来源或无法命中当前模板 options 时留空并转人工；模板必填或代码 ruleBlocking 时阻断。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1621
针织衫,59,28453,适用季节,文本,是,否,MDM_SPU 产品季 + LAUNCH_PLAN 产品季/上市日期,本地 MDM 导出 SPU 信息 产品季 + 本地上市计划 Excel 产品季/上市日期,按有效产品季和日期映射到当前模板季节枚举；不把上市批次数字直接当季节。,无法解析季节时留空并转人工。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1622
针织衫,59,39416,适用季节(多选),多选,是,否,MDM_SPU 产品季 + LAUNCH_PLAN 产品季/上市日期,本地 MDM 导出 SPU 信息 产品季 + 本地上市计划 Excel 产品季/上市日期,按有效产品季和日期映射到当前模板季节枚举；不把上市批次数字直接当季节。,无法解析季节时留空并转人工。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1623
针织衫,59,25692,适用年龄,文本,是,否,MDM/LAUNCH_PLAN 年龄段 + APPAREL_SIZE_REFERENCE 年龄/身高基准,MDM/本地上市计划 Excel 年龄段 + APPAREL_SIZE_REFERENCE 年龄/身高基准,将年龄段解析为闭合区间后命中当前模板最具体合法枚举；服饰优先尺码基准，鞋品优先匹配 chart reference_age。,没有尺码段、基准年龄或明确文案时留空并转人工；开放区间不擅自闭合。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1624
针织衫,59,33925,适用年龄(多选),多选,是,否,MDM/LAUNCH_PLAN 年龄段 + APPAREL_SIZE_REFERENCE 年龄/身高基准,MDM/本地上市计划 Excel 年龄段 + APPAREL_SIZE_REFERENCE 年龄/身高基准,将年龄段解析为闭合区间后命中当前模板最具体合法枚举；服饰优先尺码基准，鞋品优先匹配 chart reference_age。,没有尺码段、基准年龄或明确文案时留空并转人工；开放区间不擅自闭合。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1625
针织衫,59,28454,适用性别,文本,是,否,MDM_SPU/MDM_SKU.gender + LAUNCH_PLAN/COPYWRITING 性别,本地 MDM 导出 SPU 信息/本地 SKU Excel.gender + 本地上市计划 Excel/本地文案 Excel 性别,按 SPU/SKU 真实性别聚合并命中模板枚举；同款多色需保留真实覆盖范围。,性别来源冲突时转人工；无证据留空。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1626
针织衫,59,39419,适用性别(多选),多选,是,否,MDM_SPU/MDM_SKU.gender + LAUNCH_PLAN/COPYWRITING 性别,本地 MDM 导出 SPU 信息/本地 SKU Excel.gender + 本地上市计划 Excel/本地文案 Excel 性别,按 SPU/SKU 真实性别聚合并命中模板枚举；同款多色需保留真实覆盖范围。,性别来源冲突时转人工；无证据留空。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1627
针织衫,59,1538,面料,文本,是,否,OCR_HANGTAG/OCR_WASHLABEL + COPYWRITING,本地图包/PDF 的可追溯 OCR + 本地文案 Excel,从真实成分和文案面料名称归一；抖音字段必须命中抖音面料材质枚举。,无证据留空并复核。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1628
针织衫,59,1542,面料,文本,是,否,OCR_HANGTAG/OCR_WASHLABEL + COPYWRITING,本地图包/PDF 的可追溯 OCR + 本地文案 Excel,从真实成分和文案面料名称归一；抖音字段必须命中抖音面料材质枚举。,无证据留空并复核。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1629
针织衫,59,33927,面料(多选),多选,是,否,OCR_HANGTAG/OCR_WASHLABEL + COPYWRITING,本地图包/PDF 的可追溯 OCR + 本地文案 Excel,从真实成分和文案面料名称归一；抖音字段必须命中抖音面料材质枚举。,无证据留空并复核。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1630
针织衫,59,26605,领型,文本,是,否,COPYWRITING + REFERENCE_IMAGE,本地文案 Excel + 本地参考图,图片可见领口结构可辅助判断；最终值必须命中模板枚举。,领口不可见且文案缺失时留空。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1631
针织衫,59,1313,风格,文本,是,否,COPYWRITING + LAUNCH_PLAN + REFERENCE_IMAGE,本地文案 Excel + 本地上市计划 Excel + 本地参考图,优先文案/上市计划明确属性；图片只判断可见结构；枚举字段必须命中模板值。,证据不足留空并人工复核。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1632
针织衫,59,33928,风格(多选),多选,是,否,COPYWRITING + LAUNCH_PLAN + REFERENCE_IMAGE,本地文案 Excel + 本地上市计划 Excel + 本地参考图,优先文案/上市计划明确属性；图片只判断可见结构；枚举字段必须命中模板值。,证据不足留空并人工复核。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1633
针织衫,59,93949,1688供货方式,单选,否,否,LAUNCH_PLAN 上市计划履约字段 + 平台运营配置 + 当前模板 options,本地上市计划 Excel 上市计划履约字段 + 平台运营配置 + 当前模板 options,按上市计划/平台明确履约值命中当前模板 options；没有业务配置不套用鞋品默认。,无履约配置留空并转业务人工。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1634
针织衫,59,77615,22Q1-童鞋卖点解析,多行/结构文本,否,否,业务规则 skip：鞋品专属字段（服饰不适用）,业务规则 skip：鞋品专属字段（服饰不适用）,服饰类目不使用鞋品脚长、鞋内长或鞋型尺码模板；仅当真实鞋品类目时才按鞋品模板生成。,服饰模板中出现时留空并复核，不阻断服饰主尺码。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1635
针织衫,59,77860,22Q1-童鞋品名,文本,否,否,业务规则 skip：鞋品专属字段（服饰不适用）,业务规则 skip：鞋品专属字段（服饰不适用）,服饰类目不使用鞋品脚长、鞋内长或鞋型尺码模板；仅当真实鞋品类目时才按鞋品模板生成。,服饰模板中出现时留空并复核，不阻断服饰主尺码。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1636
针织衫,59,77617,22Q1内里,文本,否,否,业务规则 skip：鞋品字段在服饰类目不适用,业务规则 skip：鞋品字段在服饰类目不适用,鞋品字段在服饰类目不适用 不参与生成和发送；不得由 AI、旧资源或其他品类字段回填。,固定留空，不计为缺失阻断；仅记录为业务 blank。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1637
针织衫,59,77618,22Q1鞋底,文本,否,否,业务规则 skip：鞋品专属字段（服饰不适用）,业务规则 skip：鞋品专属字段（服饰不适用）,服饰类目不使用鞋品脚长、鞋内长或鞋型尺码模板；仅当真实鞋品类目时才按鞋品模板生成。,服饰模板中出现时留空并复核，不阻断服饰主尺码。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1638
针织衫,59,77616,22Q1鞋面,文本,否,否,业务规则 skip：鞋品专属字段（服饰不适用）,业务规则 skip：鞋品专属字段（服饰不适用）,服饰类目不使用鞋品脚长、鞋内长或鞋型尺码模板；仅当真实鞋品类目时才按鞋品模板生成。,服饰模板中出现时留空并复核，不阻断服饰主尺码。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1639
针织衫,59,80773,22Q4-童鞋内里,多行/结构文本,否,否,业务规则 skip：鞋品专属字段（服饰不适用）,业务规则 skip：鞋品专属字段（服饰不适用）,服饰类目不使用鞋品脚长、鞋内长或鞋型尺码模板；仅当真实鞋品类目时才按鞋品模板生成。,服饰模板中出现时留空并复核，不阻断服饰主尺码。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1640
针织衫,59,80776,22Q4-童鞋卖点,单选,否,否,业务规则 skip：鞋品专属字段（服饰不适用）,业务规则 skip：鞋品专属字段（服饰不适用）,服饰类目不使用鞋品脚长、鞋内长或鞋型尺码模板；仅当真实鞋品类目时才按鞋品模板生成。,服饰模板中出现时留空并复核，不阻断服饰主尺码。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1641
针织衫,59,80777,22Q4-童鞋卖点解析,多行/结构文本,否,否,业务规则 skip：鞋品专属字段（服饰不适用）,业务规则 skip：鞋品专属字段（服饰不适用）,服饰类目不使用鞋品脚长、鞋内长或鞋型尺码模板；仅当真实鞋品类目时才按鞋品模板生成。,服饰模板中出现时留空并复核，不阻断服饰主尺码。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1642
针织衫,59,80772,22Q4-童鞋品名,多行/结构文本,否,否,业务规则 skip：鞋品专属字段（服饰不适用）,业务规则 skip：鞋品专属字段（服饰不适用）,服饰类目不使用鞋品脚长、鞋内长或鞋型尺码模板；仅当真实鞋品类目时才按鞋品模板生成。,服饰模板中出现时留空并复核，不阻断服饰主尺码。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1643
针织衫,59,80778,22Q4-童鞋尺码表,单选,否,否,业务规则 skip：鞋品专属字段（服饰不适用）,业务规则 skip：鞋品专属字段（服饰不适用）,服饰类目不使用鞋品脚长、鞋内长或鞋型尺码模板；仅当真实鞋品类目时才按鞋品模板生成。,服饰模板中出现时留空并复核，不阻断服饰主尺码。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1644
针织衫,59,80775,22Q4-童鞋鞋底,多行/结构文本,否,否,业务规则 skip：鞋品专属字段（服饰不适用）,业务规则 skip：鞋品专属字段（服饰不适用）,服饰类目不使用鞋品脚长、鞋内长或鞋型尺码模板；仅当真实鞋品类目时才按鞋品模板生成。,服饰模板中出现时留空并复核，不阻断服饰主尺码。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1645
针织衫,59,80774,22Q4-童鞋鞋面,多行/结构文本,否,否,业务规则 skip：鞋品专属字段（服饰不适用）,业务规则 skip：鞋品专属字段（服饰不适用）,服饰类目不使用鞋品脚长、鞋内长或鞋型尺码模板；仅当真实鞋品类目时才按鞋品模板生成。,服饰模板中出现时留空并复核，不阻断服饰主尺码。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1646
针织衫,59,77859,22海报文案,多行/结构文本,否,否,COPYWRITING：标准文案表（按款号/款色取值）,本地文案 Excel：标准文案表（按款号/款色取值）,按款号/款色关联标准文案表，保留完整事实句并按平台长度规则裁剪。,文案表无同款有效行时留空并转人工；不以其他款或空白颜色副本补值。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1647
针织衫,59,89215,25产品名称,多行/结构文本,否,否,COPYWRITING：标准文案表（按款号/款色取值）,本地文案 Excel：标准文案表（按款号/款色取值）,按标准文案表名称/商品名称列取值；名称字段不从款号硬拼。,文案表无同款有效行时留空并转人工；不以其他款或空白颜色副本补值。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1648
针织衫,59,89354,25厚薄指数,单选,否,否,COPYWRITING + LAUNCH_PLAN + REFERENCE_IMAGE,本地文案 Excel + 本地上市计划 Excel + 本地参考图,优先文案厚薄字段；图片只辅助判断明显薄厚，并回到模板枚举。,无证据留空或人工复核。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1649
针织衫,59,89214,25实拍文案,多行/结构文本,否,否,COPYWRITING：标准文案表（按款号/款色取值）,本地文案 Excel：标准文案表（按款号/款色取值）,按款号/款色关联标准文案表，保留完整事实句并按平台长度规则裁剪。,文案表无同款有效行时留空并转人工；不以其他款或空白颜色副本补值。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1650
针织衫,59,89356,25弹力指数,单选,否,否,COPYWRITING + 面料说明,本地文案 Excel + 面料说明,取文案柔软度/弹性字段或面料说明中明确弹力。,无弹力描述留空。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1651
针织衫,59,89352,25服装质检标题,多行/结构文本,否,否,COPYWRITING：标准文案表（按款号/款色取值）,本地文案 Excel：标准文案表（按款号/款色取值）,按标准文案表对应列（导购标题）取值；平台字段按长度和禁填规则处理。,文案表无同款有效行时留空并转人工；不以其他款或空白颜色副本补值。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1654
针织衫,59,89350,25服装面料文案,多行/结构文本,否,否,吊牌/洗唛 OCR + COPYWRITING 标准文案 + 人工确认,吊牌/洗唛 OCR + 本地文案 Excel 标准文案 + 人工确认,按面料部位保留真实成分和比例；吊牌/洗唛合规事实优先，文案只作补充，枚举按模板归一。,无吊牌/洗唛/文案证据留空或转合规人工。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1655
针织衫,59,89359,25服饰吊牌样式,单选,否,否,当前模板 options + LAUNCH_PLAN/吊牌样式证据,当前模板 options + 本地上市计划 Excel/吊牌样式证据,只选择当前 field_id options 中有吊牌样式证据支持的枚举；它不是吊牌价格字段。,无吊牌样式证据留空并转人工。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1656
针织衫,59,89353,25服饰细节文案,多行/结构文本,否,否,COPYWRITING：标准文案表（按款号/款色取值）,本地文案 Excel：标准文案表（按款号/款色取值）,按款号/款色关联标准文案表，保留完整事实句并按平台长度规则裁剪。,文案表无同款有效行时留空并转人工；不以其他款或空白颜色副本补值。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1657
针织衫,59,89355,25柔软指数,单选,否,否,COPYWRITING 标准文案（厚薄/柔软度/弹性/版型） + REFERENCE_IMAGE + 当前模板 options；AI 仅辅助枚举,本地文案 Excel 标准文案（厚薄/柔软度/弹性/版型） + 本地参考图 + 当前模板 options；AI 仅辅助枚举,优先取标准文案明确属性；图片仅辅助明显可见/观感属性，最终必须命中当前模板 options，不能从季节或材质硬推。,文案和图像均无充分证据时留空并人工复核。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1658
针织衫,59,94021,25版型指数,单选,否,否,COPYWRITING + LAUNCH_PLAN + REFERENCE_IMAGE,本地文案 Excel + 本地上市计划 Excel + 本地参考图,优先标准文案版型；裤装可用小类/文案确认直筒、束脚等。,无版型证据留空复核。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1659
针织衫,59,89216,25面料成分,多行/结构文本,否,否,吊牌/洗唛 OCR + COPYWRITING 标准文案 + 人工确认,吊牌/洗唛 OCR + 本地文案 Excel 标准文案 + 人工确认,按面料部位保留真实成分和比例；吊牌/洗唛合规事实优先，文案只作补充，枚举按模板归一。,无吊牌/洗唛/文案证据留空或转合规人工。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1660
针织衫,59,89217,25鞋子尺码表,单选,否,否,业务规则 skip：鞋品专属字段（服饰不适用）,业务规则 skip：鞋品专属字段（服饰不适用）,服饰类目不使用鞋品脚长、鞋内长或鞋型尺码模板；仅当真实鞋品类目时才按鞋品模板生成。,服饰模板中出现时留空并复核，不阻断服饰主尺码。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1661
针织衫,59,89213,25鞋子模板类型,单选,否,否,业务规则 skip：鞋品专属字段（服饰不适用）,业务规则 skip：鞋品专属字段（服饰不适用）,服饰类目不使用鞋品脚长、鞋内长或鞋型尺码模板；仅当真实鞋品类目时才按鞋品模板生成。,服饰模板中出现时留空并复核，不阻断服饰主尺码。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1662
针织衫,59,37592,[包装]宽,文本,否,否,当前代码模板映射 source_type/source_field + 对应上游事实（MDM/上市计划/标准文案/OCR/人工）,当前代码模板映射 source_type/source_field + 对应上游事实（MDM/上市计划/标准文案/OCR/人工）,按 field_id 的 source_type/source_field 读取同款事实；无专门派生规则时只保留可追溯值，不因模板字段存在而自动生成。,无可信来源或无法命中当前模板 options 时留空并转人工；模板必填或代码 ruleBlocking 时阻断。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1663
针织衫,59,37591,[包装]长,文本,否,否,当前代码模板映射 source_type/source_field + 对应上游事实（MDM/上市计划/标准文案/OCR/人工）,当前代码模板映射 source_type/source_field + 对应上游事实（MDM/上市计划/标准文案/OCR/人工）,按 field_id 的 source_type/source_field 读取同款事实；无专门派生规则时只保留可追溯值，不因模板字段存在而自动生成。,无可信来源或无法命中当前模板 options 时留空并转人工；模板必填或代码 ruleBlocking 时阻断。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1664
针织衫,59,37593,[包装]高,文本,否,否,当前代码模板映射 source_type/source_field + 对应上游事实（MDM/上市计划/标准文案/OCR/人工）,当前代码模板映射 source_type/source_field + 对应上游事实（MDM/上市计划/标准文案/OCR/人工）,按 field_id 的 source_type/source_field 读取同款事实；无专门派生规则时只保留可追溯值，不因模板字段存在而自动生成。,无可信来源或无法命中当前模板 options 时留空并转人工；模板必填或代码 ruleBlocking 时阻断。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1665
针织衫,59,90655,balaone仅专供新品勾选,单选,否,否,LAUNCH_PLAN 属性（专供新品） + 当前模板 options,本地上市计划 Excel 属性（专供新品） + 当前模板 options,只有上市计划属性明确包含专供新品时才选是；否则留空，不默认勾选。,无属性证据留空。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1666
针织衫,59,80780,上市时间(文本),文本,否,否,MDM_SPU 产品季/年份 + LAUNCH_PLAN 上市时间/产品季,本地 MDM 导出 SPU 信息 产品季/年份 + 本地上市计划 Excel 上市时间/产品季,优先取 MDM/上市计划有效日期和产品季，按字段要求归一为月份、季节或模板枚举；不使用文件名日期。,日期和产品季都缺失时留空并标记上市信息阻断。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1667
针织衫,59,61305,中幼海报标题-20Q2,多行/结构文本,否,否,COPYWRITING：标准文案表（按款号/款色取值）,本地文案 Excel：标准文案表（按款号/款色取值）,按标准文案表对应列（导购标题）取值；平台字段按长度和禁填规则处理。,文案表无同款有效行时留空并转人工；不以其他款或空白颜色副本补值。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1668
针织衫,59,67018,中幼童-弹性指数,单选,否,否,COPYWRITING 标准文案（厚薄/柔软度/弹性/版型） + REFERENCE_IMAGE + 当前模板 options；AI 仅辅助枚举,本地文案 Excel 标准文案（厚薄/柔软度/弹性/版型） + 本地参考图 + 当前模板 options；AI 仅辅助枚举,优先取标准文案明确属性；图片仅辅助明显可见/观感属性，最终必须命中当前模板 options，不能从季节或材质硬推。,文案和图像均无充分证据时留空并人工复核。,当前模板激活且合法时写入,完整字段集覆盖；先合并远端快照,仅普通标量，显式 --fields；携带颜色/尺码,待逐字段确认,src/brands/balabala/fields.ts,balabala-product-field-whitepaper.md:1669
